collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
SDG,SDG labour market indicators,AGO,Angola,BX:13366,Other household survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2004,3.0,,,,,,,R1:3513_S3:5,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Annual or annual average,
SDG,SDG labour market indicators,AGO,Angola,BX:13366,Other household survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2011,1.6,,,,,,,R1:3513_S3:5,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Annual or annual average,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2007,8.8,,,,,,,R1:2477,Repository: NSO,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,8.0,,,,,,,S3:26_S5:38,Data reference period: Noncalendar year | Population coverage: Excluding both institutional population and armed forces and/or conscripts,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2011,7.6,,,,,,,S3:26_S5:38,Data reference period: Noncalendar year | Population coverage: Excluding both institutional population and armed forces and/or conscripts,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2012,6.4,,,,,,,S3:26_S5:38,Data reference period: Noncalendar year | Population coverage: Excluding both institutional population and armed forces and/or conscripts,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2013,7.6,,,,,,,S3:5_S5:38,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2014,8.6,,,,,,,S3:5_S5:38,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts,
SDG,SDG labour market indicators,ALB,Albania,BA:480,Labour force survey,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2015,9.2,,,,,,,S3:5_S5:38,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts,
SDG,SDG labour market indicators,ALB,Albania,EA:847,Official estimate,SDG_0922_NOC_RT,[9.2.2] Manufacturing employment as a proportion of total employment (%),,,NOC_VALUE,Total: Value,,,,,,,,,2004,6.0,,,,,,,S3:5,Data reference period: Annual or annual average,
