collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
IR,Industrial relations,ALB,Albania,FX:6358,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2012,20.4,,,,,T32:3477,Collective bargaining coverage : Not adjusted for the right to collective bargaining,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ALB,Albania,FX:6358,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2013,24.0,,,,,T32:3477,Collective bargaining coverage : Not adjusted for the right to collective bargaining,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ARG,Argentina,FX:8237,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2008,41.5,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,FX:8237,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,40.8,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,FX:8237,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2010,42.1,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,FX:8237,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2011,41.8,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,FX:8237,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2012,40.3,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,FX:8237,Other administrative records and related sources,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2013,41.3,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARM,Armenia,FI:171,Records of workers' organizations,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,25.3,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ARM,Armenia,FI:171,Records of workers' organizations,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2010,25.0,,,,,T32:3476,Collective bargaining coverage : Adjusted for the right to collective bargaining,S9:66,Reference group coverage: Employees,
