collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
IR,Industrial relations,ALB,Albania,FI:659,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,21.6,,,,,,,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ALB,Albania,FI:659,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2012,21.4,,,,,,,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ALB,Albania,FI:659,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2013,21.8,,,,,,,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ARG,Argentina,DA:784,Establishment survey,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2005,37.2,,,,,,,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,DA:784,Establishment survey,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2006,39.7,,,,,,,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARG,Argentina,DA:784,Establishment survey,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2008,37.7,,,,,,,S3:23_S4:33_S7:57_S8:61_S9:66_S6:48,Data reference period: December | Geographical coverage: Main cities or metropolitan areas | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding agriculture | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees,
IR,Industrial relations,ARM,Armenia,FI:171,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,38.3,,,,,,,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ARM,Armenia,FI:171,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2010,35.8,,,,,,,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ARM,Armenia,FI:171,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2011,36.6,,,,,,,S9:66,Reference group coverage: Employees,
IR,Industrial relations,ARM,Armenia,FI:171,Records of workers' organizations,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2012,35.2,,,,,,,S9:66,Reference group coverage: Employees,
