연령,q1,수치,tot_group,pct
20대,매우 긍정적이다,13,93,14
20대,긍정적으로 보지만 개선해야 한다,39,93,41.9
20대,예전과 차이를 모르겠다,11,93,11.8
20대,부정적으로 보며 제도가 많이 바뀌어야 한다,17,93,18.3
20대,시행한 이유를 모르겠다,5,93,5.4
20대,잘 모르겠음,8,93,8.6
30대,매우 긍정적이다,16,120,13.3
30대,긍정적으로 보지만 개선해야 한다,56,120,46.7
30대,예전과 차이를 모르겠다,17,120,14.2
30대,부정적으로 보며 제도가 많이 바뀌어야 한다,13,120,10.8
30대,시행한 이유를 모르겠다,4,120,3.3
30대,잘 모르겠음,14,120,11.7
40대,매우 긍정적이다,38,272,14
40대,긍정적으로 보지만 개선해야 한다,127,272,46.7
40대,예전과 차이를 모르겠다,28,272,10.3
40대,부정적으로 보며 제도가 많이 바뀌어야 한다,56,272,20.6
40대,시행한 이유를 모르겠다,12,272,4.4
40대,잘 모르겠음,11,272,4
50대,매우 긍정적이다,55,419,13.1
50대,긍정적으로 보지만 개선해야 한다,186,419,44.4
50대,예전과 차이를 모르겠다,50,419,11.9
50대,부정적으로 보며 제도가 많이 바뀌어야 한다,89,419,21.2
50대,시행한 이유를 모르겠다,26,419,6.2
50대,잘 모르겠음,13,419,3.1
60대 이상,매우 긍정적이다,64,616,10.4
60대 이상,긍정적으로 보지만 개선해야 한다,231,616,37.5
60대 이상,예전과 차이를 모르겠다,73,616,11.9
60대 이상,부정적으로 보며 제도가 많이 바뀌어야 한다,158,616,25.6
60대 이상,시행한 이유를 모르겠다,39,616,6.3
60대 이상,잘 모르겠음,51,616,8.3
