지역,q7,수치,tot_group,pct
서울,"교육감 직선제 유지하되, 교육감 권한 강화",88,321,27.4
서울,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",82,321,25.5
서울,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",49,321,15.3
서울,교육감 직선제는 폐지하는 것이 바람직함,70,321,21.8
서울,잘 모르겠음,32,321,10
경기인천,"교육감 직선제 유지하되, 교육감 권한 강화",88,361,24.4
경기인천,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",94,361,26
경기인천,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",58,361,16.1
경기인천,교육감 직선제는 폐지하는 것이 바람직함,93,361,25.8
경기인천,잘 모르겠음,28,361,7.8
대전충청세종,"교육감 직선제 유지하되, 교육감 권한 강화",25,162,15.4
대전충청세종,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",42,162,25.9
대전충청세종,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",36,162,22.2
대전충청세종,교육감 직선제는 폐지하는 것이 바람직함,46,162,28.4
대전충청세종,잘 모르겠음,13,162,8
부산경남울산,"교육감 직선제 유지하되, 교육감 권한 강화",55,257,21.4
부산경남울산,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",67,257,26.1
부산경남울산,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",55,257,21.4
부산경남울산,교육감 직선제는 폐지하는 것이 바람직함,63,257,24.5
부산경남울산,잘 모르겠음,17,257,6.6
대구경북,"교육감 직선제 유지하되, 교육감 권한 강화",20,164,12.2
대구경북,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",34,164,20.7
대구경북,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",42,164,25.6
대구경북,교육감 직선제는 폐지하는 것이 바람직함,50,164,30.5
대구경북,잘 모르겠음,18,164,11
광주전라,"교육감 직선제 유지하되, 교육감 권한 강화",30,178,16.9
광주전라,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",53,178,29.8
광주전라,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",47,178,26.4
광주전라,교육감 직선제는 폐지하는 것이 바람직함,33,178,18.5
광주전라,잘 모르겠음,15,178,8.4
강원제주,"교육감 직선제 유지하되, 교육감 권한 강화",13,77,16.9
강원제주,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",18,77,23.4
강원제주,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",20,77,26
강원제주,교육감 직선제는 폐지하는 것이 바람직함,22,77,28.6
강원제주,잘 모르겠음,4,77,5.2
