"TIME","GEO","WORKTIME","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1996","European Union (28 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","European Union (28 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","European Union (27 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","European Union (27 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","European Union (15 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","European Union (15 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Euro area (19 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Euro area (19 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Euro area (18 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Euro area (18 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Euro area (17 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Euro area (17 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Belgium","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Belgium","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Bulgaria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Bulgaria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Czech Republic","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Czech Republic","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Denmark","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Denmark","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Germany (until 1990 former territory of the FRG)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Germany (until 1990 former territory of the FRG)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Estonia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Estonia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Ireland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Ireland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Greece","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Greece","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Spain","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.5",""
"1996","Spain","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.3",""
"1996","France","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","France","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","France (metropolitan)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","France (metropolitan)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Croatia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Croatia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Italy","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Italy","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Cyprus","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Cyprus","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Latvia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Latvia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Lithuania","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Lithuania","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Luxembourg","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Luxembourg","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Hungary","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Hungary","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Malta","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Malta","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Netherlands","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Netherlands","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Austria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Austria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Poland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Poland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Portugal","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.1","e"
"1996","Portugal","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.1","e"
"1996","Romania","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Romania","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Slovenia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Slovenia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Slovakia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Slovakia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Finland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Finland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
