"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"1",20170523,"영등포로",0.05,0.006,0.5,0.007,58,NA,"2017","05","23",2017-05-23
"2",20170523,"종로",0.034,0.016,0.3,0.004,36,24,"2017","05","23",2017-05-23
"3",20170523,"강서구",0.031,0.021,0.3,0.008,39,21,"2017","05","23",2017-05-23
"4",20170523,"도산대로",0.032,0.014,0.4,0.006,40,24,"2017","05","23",2017-05-23
"5",20170523,"영등포구",0.031,0.021,0.6,0.006,39,16,"2017","05","23",2017-05-23
"6",20170523,"마포구",0.027,0.02,0.4,0.005,35,24,"2017","05","23",2017-05-23
"7",20170523,"성동구",0.028,0.012,0.3,0.005,42,24,"2017","05","23",2017-05-23
"8",20170523,"관악구",0.025,0.024,0.3,0.006,41,23,"2017","05","23",2017-05-23
"9",20170523,"송파구",0.03,0.021,0.4,0.005,41,23,"2017","05","23",2017-05-23
"10",20170523,"광진구",0.029,0.023,0.5,0.005,33,18,"2017","05","23",2017-05-23
"11",20170523,"한강대로",0.041,0.012,0.5,0.005,52,NA,"2017","05","23",2017-05-23
"12",20170523,"홍릉로",0.04,0.013,0.5,0.006,43,27,"2017","05","23",2017-05-23
"13",20170523,"동작구",0.023,0.027,0.3,0.005,32,21,"2017","05","23",2017-05-23
"14",20170523,"동작대로",0.047,0.015,0.5,0.007,47,NA,"2017","05","23",2017-05-23
"15",20170523,"도봉구",0.023,0.023,0.5,0.005,37,24,"2017","05","23",2017-05-23
"16",20170523,"종로구",0.03,0.022,0.4,0.004,33,19,"2017","05","23",2017-05-23
"17",20170523,"공항대로",0.047,0.011,0.4,0.006,56,33,"2017","05","23",2017-05-23
"18",20170523,"신촌로",0.051,0.008,0.7,0.007,43,28,"2017","05","23",2017-05-23
"19",20170523,"중랑구",0.03,0.017,0.3,0.007,40,24,"2017","05","23",2017-05-23
"20",20170523,"양천구",0.028,0.013,0.4,0.006,33,26,"2017","05","23",2017-05-23
"21",20170523,"용산구",0.025,0.011,0.2,0.005,28,21,"2017","05","23",2017-05-23
"22",20170523,"강남구",0.027,0.016,0.3,0.006,35,18,"2017","05","23",2017-05-23
"23",20170523,"청계천로",0.038,0.014,0.6,0.006,42,27,"2017","05","23",2017-05-23
"24",20170523,"노원구",0.03,0.021,0.4,0.004,37,22,"2017","05","23",2017-05-23
"25",20170523,"강변북로",0.045,0.011,0.4,0.006,46,NA,"2017","05","23",2017-05-23
"26",20170523,"강남대로",0.054,0.012,0.6,0.007,48,NA,"2017","05","23",2017-05-23
"27",20170523,"중구",0.032,0.019,0.3,0.004,30,19,"2017","05","23",2017-05-23
"28",20170523,"은평구",0.026,0.024,0.4,0.006,36,23,"2017","05","23",2017-05-23
"29",20170523,"서대문구",0.032,0.019,0.4,0.006,35,26,"2017","05","23",2017-05-23
"30",20170523,"서초구",0.026,0.025,0.4,0.007,37,21,"2017","05","23",2017-05-23
"31",20170523,"동대문구",0.024,0.02,0.4,0.005,31,18,"2017","05","23",2017-05-23
"32",20170523,"강북구",0.02,0.026,0.3,0.004,28,19,"2017","05","23",2017-05-23
"33",20170523,"천호대로",0.04,0.014,0.5,0.004,38,21,"2017","05","23",2017-05-23
"34",20170523,"화랑로",0.042,0.012,0.5,0.005,49,NA,"2017","05","23",2017-05-23
"35",20170523,"구로구",0.021,0.019,0.4,0.008,41,21,"2017","05","23",2017-05-23
"36",20170523,"금천구",0.029,0.019,0.4,0.006,40,22,"2017","05","23",2017-05-23
"37",20170523,"강동구",0.032,0.017,0.4,0.004,42,18,"2017","05","23",2017-05-23
"38",20170523,"정릉로",0.028,0.023,0.4,0.006,41,22,"2017","05","23",2017-05-23
"39",20170523,"성북구",0.029,0.019,0.5,0.004,38,24,"2017","05","23",2017-05-23
"40",20170522,"금천구",0.031,0.03,0.4,0.004,42,23,"2017","05","22",2017-05-22
"41",20170522,"마포구",0.025,0.035,0.4,0.004,39,26,"2017","05","22",2017-05-22
"42",20170522,"도산대로",0.033,0.024,0.5,0.005,48,29,"2017","05","22",2017-05-22
"43",20170522,"성동구",0.028,0.021,0.3,0.005,55,27,"2017","05","22",2017-05-22
"44",20170522,"도봉구",0.023,0.036,0.5,0.006,48,32,"2017","05","22",2017-05-22
"45",20170522,"노원구",0.03,0.035,0.4,0.004,44,28,"2017","05","22",2017-05-22
"46",20170522,"동작구",0.027,0.038,0.3,0.004,35,24,"2017","05","22",2017-05-22
"47",20170522,"공항대로",0.046,0.019,0.4,0.006,58,34,"2017","05","22",2017-05-22
"48",20170522,"은평구",0.029,0.03,0.5,0.005,49,29,"2017","05","22",2017-05-22
