대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
일본,남    ,32294,74394,154481,260010,224985,122906,67434,26536,아시아
일본,여    ,30160,84698,236900,167211,143608,122840,74698,24327,아시아
중국,남    ,41291,97998,156974,449900,606476,340385,153345,32224,아시아
중국,여    ,36366,87288,142273,151272,218641,202042,104159,21813,아시아
대만,남    ,2113,3647,14261,33074,26902,14113,7869,1971,아시아
대만,여    ,2021,3651,12920,10335,12477,12894,7060,1457,아시아
필리핀,남    ,14376,19874,57729,78265,66002,30682,11294,1920,아시아
필리핀,여    ,13135,19745,79519,44127,32448,20510,8604,1717,아시아
홍콩,남    ,6664,6665,28888,69502,52963,21230,6895,1292,아시아
홍콩난민,여    ,6403,8353,55051,39637,25305,16695,6957,1445,아시아
태국,남    ,18484,18982,75230,110150,95194,58319,25856,4190,아시아
태국,여    ,16939,23360,127666,72151,70456,57822,24015,4440,아시아
말레이시아,남    ,4462,3900,6913,18994,15902,7423,3424,663,아시아
말레이시아,여    ,4270,3503,8924,11582,7489,4614,2601,442,아시아
싱가포르,남    ,7333,7402,15723,36117,26613,12618,5407,1056,아시아
싱가포르,여    ,6714,8386,31652,24680,17714,13444,5719,1102,아시아
인도네시아,남    ,3024,2458,9578,20651,19171,8088,2382,377,아시아
인도네시아,여    ,2840,2392,14088,10080,6656,3951,1438,365,아시아
인도,남    ,493,1739,4558,7827,6780,2819,1041,186,아시아
인도,여    ,427,1591,4823,2582,2393,2166,892,164,아시아
베트남,남    ,3793,4501,10717,41515,57622,37463,16727,3016,아시아
베트남,여    ,3430,4524,12651,15844,30574,30805,13117,2143,아시아
미얀마,남    ,53,104,279,738,1283,875,364,93,아시아
미얀마,여    ,41,75,253,290,565,679,350,71,아시아
몽골,남    ,408,1181,1939,4819,6628,3511,1160,167,아시아
몽골,여    ,376,1024,2163,1322,1606,1303,438,86,아시아
스리랑카,남    ,63,111,274,647,929,420,140,25,아시아
스리랑카,여    ,75,119,284,223,255,167,92,27,아시아
파키스탄,남    ,29,77,285,607,551,217,62,8,아시아
파키스탄,여    ,33,59,236,156,102,47,13,2,아시아
방글라데시,남    ,36,81,227,571,732,402,99,9,아시아
방글라데시,여    ,36,55,251,164,179,111,16,5,아시아
마카오,남    ,571,1069,2413,4430,5654,3828,1863,415,아시아
마카오,여    ,530,1344,5291,3057,4314,4102,1636,262,아시아
네팔,남    ,28,150,272,316,407,272,93,9,아시아
네팔,여    ,21,111,345,237,218,165,35,4,아시아
캄보디아,남    ,712,1982,1931,3688,5980,5159,2933,507,아시아
캄보디아,여    ,694,2019,4841,4552,7981,7271,2552,427,아시아
브루나이,남    ,79,28,36,170,227,200,131,26,아시아
