"","age_cut","sido","q7_1_2","nn"
"1","g20","서울",NA,1
"2","g20","전북",NA,1
"3","g20","전남",NA,1
"4","g20","제주",NA,1
"5","g20","부산",NA,2
"6","g20","대구",NA,1
"7","g20","경기",NA,2
"8","g20","강원",NA,1
"9","g30","서울","일본",1
"10","g30","서울","태국",1
"11","g30","서울","헝가리",1
"12","g30","서울",NA,2
"13","g30","충남",NA,1
"14","g30","전북",NA,1
"15","g30","경북",NA,1
"16","g30","제주",NA,1
"17","g30","부산",NA,1
"18","g30","경기",NA,2
"19","g30","강원",NA,1
"20","g40","서울",NA,1
"21","g40","충남",NA,1
"22","g40","전남",NA,1
"23","g40","제주",NA,1
"24","g40","부산",NA,1
"25","g40","대구",NA,1
"26","g40","광주",NA,1
"27","g40","대전",NA,1
"28","g40","경기",NA,2
"29","g40","강원",NA,1
"30","g50","서울","중국",1
"31","g50","서울",NA,2
"32","g50","충북",NA,1
"33","g50","전남",NA,1
"34","g50","부산",NA,2
"35","g50","대구",NA,1
"36","g50","인천",NA,1
"37","g50","광주",NA,1
"38","g50","대전",NA,1
"39","g50","경기",NA,1
"40","g60","서울",NA,2
"41","g60","전남",NA,1
"42","g60","경북",NA,1
"43","g60","부산",NA,1
"44","g60","강원",NA,1
"45","g_over60","전남",NA,1
"46","g_over60","부산",NA,1
