"","age_cut","sido1","q6_1","nn"
"1","g10",1,"030   ",1
"2","g10",1,"039   ",1
"3","g10",1,"128   ",1
"4","g10",1,"188   ",1
"5","g10",3,"176   ",1
"6","g10",8,"128   ",1
"7","g10",8,"154   ",1
"8","g10",8,"170   ",1
"9","g10",8,"171   ",1
"10","g10",8,"182   ",1
"11","g10",8,"207   ",1
"12","g10",8,"229   ",1
"13","g10",10,"034   ",1
"14","g10",10,"122   ",1
"15","g10",10,"149   ",1
"16","g10",10,"229   ",1
"17","g10",15,"070   ",1
"18","g10",15,"123   ",1
"19","g10",15,"229   ",1
"20","g20",1,"008   ",1
"21","g20",1,"020   ",1
"22","g20",1,"030   ",1
"23","g20",1,"070   ",1
"24","g20",1,"171   ",1
"25","g20",1,"176   ",1
"26","g20",1,"189   ",1
"27","g20",1,"232   ",2
"28","g20",2,"030   ",1
"29","g20",2,"034   ",1
"30","g20",2,"070   ",1
"31","g20",2,"170   ",1
"32","g20",2,"207   ",1
"33","g20",2,"229   ",1
"34","g20",2,"236   ",1
"35","g20",3,"082   ",1
"36","g20",3,"171   ",1
"37","g20",3,"176   ",1
"38","g20",3,"207   ",1
"39","g20",6,"176   ",1
"40","g20",8,"082   ",1
"41","g20",8,"128   ",1
"42","g20",8,"149   ",1
"43","g20",8,"236   ",1
"44","g20",11,"171   ",1
"45","g20",13,"128   ",1
"46","g20",14,"171   ",1
"47","g20",15,"171   ",1
"48","g20",15,"176   ",2
"49","g20",15,"201   ",1
"50","g20",15,"207   ",1
"51","g30",1,"026   ",1
"52","g30",1,"034   ",1
"53","g30",1,"062   ",1
"54","g30",1,"070   ",1
"55","g30",1,"122   ",1
"56","g30",1,"123   ",2
"57","g30",1,"128   ",1
"58","g30",1,"153   ",2
"59","g30",1,"154   ",1
"60","g30",1,"168   ",2
"61","g30",1,"171   ",2
"62","g30",1,"176   ",2
"63","g30",1,"182   ",1
"64","g30",1,"183   ",1
"65","g30",1,"207   ",1
"66","g30",1,"225   ",1
"67","g30",1,"229   ",2
"68","g30",1,"232   ",1
"69","g30",2,"171   ",1
"70","g30",2,"176   ",1
"71","g30",2,"207   ",2
"72","g30",2,"232   ",1
"73","g30",4,"030   ",1
"74","g30",4,"171   ",1
"75","g30",4,"176   ",1
"76","g30",5,"171   ",1
"77","g30",5,"176   ",1
"78","g30",7,"036   ",1
"79","g30",7,"176   ",1
"80","g30",8,"026   ",1
"81","g30",8,"030   ",1
"82","g30",8,"082   ",1
"83","g30",8,"121   ",1
"84","g30",8,"123   ",1
"85","g30",8,"128   ",1
"86","g30",8,"168   ",1
"87","g30",8,"171   ",1
"88","g30",8,"176   ",2
"89","g30",8,"188   ",1
"90","g30",8,"232   ",1
"91","g30",11,"030   ",1
"92","g30",11,"171   ",1
"93","g30",13,"123   ",1
"94","g30",14,"176   ",1
"95","g30",15,"171   ",1
"96","g30",15,"176   ",1
