"","age_cut","sido","q6_1","nn"
"1","g10","서울","231                                           ",1
"2","g10","부산","171                                           ",1
"3","g10","광주","030                                           ",1
"4","g10","울산","070                                           ",1
"5","g10","경기","030                                           ",1
"6","g10","경기","034                                           ",1
"7","g10","경기","070                                           ",1
"8","g10","충북","168                                           ",1
"9","g10","충남","128                                           ",1
"10","g10","전남","171                                           ",1
"11","g20","서울","008                                           ",1
"12","g20","서울","052                                           ",1
"13","g20","서울","122                                           ",1
"14","g20","서울","123                                           ",1
"15","g20","서울","153                                           ",1
"16","g20","서울","168                                           ",1
"17","g20","서울","171                                           ",2
"18","g20","서울","176                                           ",1
"19","g20","서울","207                                           ",1
"20","g20","서울","229                                           ",1
"21","g20","서울","232                                           ",2
"22","g20","서울","236                                           ",1
"23","g20","부산","026                                           ",1
"24","g20","부산","034                                           ",1
"25","g20","부산","070                                           ",1
"26","g20","부산","122                                           ",2
"27","g20","부산","149                                           ",1
"28","g20","부산","154                                           ",1
"29","g20","부산","168                                           ",1
"30","g20","부산","171                                           ",2
"31","g20","부산","176                                           ",1
"32","g20","부산","201                                           ",1
"33","g20","부산","207                                           ",1
"34","g20","부산","229                                           ",2
"35","g20","부산","232                                           ",2
"36","g20","부산","236                                           ",1
"37","g20","대구","070                                           ",1
"38","g20","대구","171                                           ",2
"39","g20","대구","207                                           ",1
"40","g20","인천","236                                           ",1
"41","g20","광주","176                                           ",1
"42","g20","대전","030                                           ",1
"43","g20","대전","036                                           ",1
"44","g20","대전","207                                           ",1
"45","g20","울산","070                                           ",1
"46","g20","울산","128                                           ",1
"47","g20","울산","171                                           ",2
"48","g20","울산","176                                           ",1
"49","g20","경기","008                                           ",1
"50","g20","경기","022                                           ",1
"51","g20","경기","023                                           ",1
"52","g20","경기","026                                           ",1
"53","g20","경기","030                                           ",1
"54","g20","경기","031                                           ",1
"55","g20","경기","034                                           ",1
"56","g20","경기","052                                           ",1
"57","g20","경기","121                                           ",1
"58","g20","경기","122                                           ",1
"59","g20","경기","123                                           ",1
"60","g20","경기","128                                           ",1
"61","g20","경기","149                                           ",1
"62","g20","경기","153                                           ",1
"63","g20","경기","168                                           ",1
