generation,sido,sex,country,value,region
g10,서울,여자,일본,1,아시아
g10,서울,여자,필리핀,1,아시아
g10,경기,남자,일본,1,아시아
g10,경기,남자,중국,1,아시아
g10,경기,남자,필리핀,1,아시아
g10,경기,여자,라오스,1,아시아
g10,경기,여자,일본,1,아시아
g10,경기,여자,필리핀,1,아시아
g10,충북,남자,중국,1,아시아
g10,전남,여자,호주,1,대양주
g10,경북,여자,필리핀,1,아시아
g20,서울,남자,네팔,1,아시아
g20,서울,남자,대만,1,아시아
g20,서울,남자,미국,1,북미
g20,서울,남자,베트남,1,아시아
g20,서울,남자,이탈리아,1,유럽
g20,서울,남자,일본,1,아시아
g20,서울,남자,태국,1,아시아
g20,서울,남자,필리핀,1,아시아
g20,서울,여자,괌,1,대양주
g20,서울,여자,대만,1,아시아
g20,서울,여자,마카오,1,아시아
g20,서울,여자,미국,1,북미
g20,서울,여자,이탈리아,1,유럽
g20,서울,여자,일본,1,아시아
g20,서울,여자,체코,1,유럽
g20,서울,여자,태국,1,아시아
g20,서울,여자,필리핀,1,아시아
g20,서울,여자,헝가리,1,유럽
g20,서울,여자,홍콩,1,아시아
g20,부산,여자,대만,1,아시아
g20,부산,여자,일본,1,아시아
g20,부산,여자,캐나다,1,북미
g20,대구,남자,싱가포르,1,아시아
g20,대구,남자,캄보디아,1,아시아
g20,대구,여자,대만,1,아시아
g20,대구,여자,호주,1,대양주
g20,대구,여자,홍콩,1,아시아
g20,인천,여자,일본,1,아시아
g20,광주,남자,일본,1,아시아
g20,대전,남자,중국,1,아시아
g20,대전,여자,대만,1,아시아
g20,대전,여자,싱가포르,1,아시아
g20,대전,여자,일본,1,아시아
g20,울산,남자,터키,1,유럽
g20,경기,남자,괌,1,대양주
g20,경기,남자,미국,1,북미
g20,경기,남자,베트남,1,아시아
g20,경기,남자,일본,1,아시아
g20,경기,남자,중국,1,아시아
g20,경기,남자,태국,1,아시아
g20,경기,남자,홍콩,1,아시아
g20,경기,여자,대만,1,아시아
g20,경기,여자,독일,1,유럽
g20,경기,여자,베트남,1,아시아
g20,경기,여자,스위스,1,유럽
g20,경기,여자,스페인,1,유럽
g20,경기,여자,영국,1,유럽
g20,경기,여자,이탈리아,1,유럽
g20,경기,여자,일본,1,아시아
g20,경기,여자,중국,1,아시아
g20,경기,여자,체코,1,유럽
g20,경기,여자,태국,1,아시아
g20,경기,여자,프랑스,1,유럽
g20,경기,여자,필리핀,1,아시아
