"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1983","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1983","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1983","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1983","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1983","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1983","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1983","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1983","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1983","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1983","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total",":",""
"1983","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1983","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total",":",""
"1983","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1983","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1983","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1983","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1983","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1983","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1983","Belgium","Total","Thousand persons","Total",":",""
"1983","Belgium","Total","Percentage of total population","Total",":",""
"1983","Belgium","Total","Percentage of active population","Total",":",""
"1983","Bulgaria","Total","Thousand persons","Total",":",""
"1983","Bulgaria","Total","Percentage of total population","Total",":",""
"1983","Bulgaria","Total","Percentage of active population","Total",":",""
"1983","Czech Republic","Total","Thousand persons","Total",":",""
"1983","Czech Republic","Total","Percentage of total population","Total",":",""
"1983","Czech Republic","Total","Percentage of active population","Total",":",""
"1983","Denmark","Total","Thousand persons","Total","221",""
"1983","Denmark","Total","Percentage of total population","Total",":",""
"1983","Denmark","Total","Percentage of active population","Total","8.4",""
"1983","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total",":",""
"1983","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1983","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total",":",""
"1983","Estonia","Total","Thousand persons","Total",":",""
"1983","Estonia","Total","Percentage of total population","Total",":",""
"1983","Estonia","Total","Percentage of active population","Total",":",""
"1983","Ireland","Total","Thousand persons","Total","180",""
"1983","Ireland","Total","Percentage of total population","Total",":",""
"1983","Ireland","Total","Percentage of active population","Total","13.9",""
"1983","Greece","Total","Thousand persons","Total",":",""
"1983","Greece","Total","Percentage of total population","Total",":",""
"1983","Greece","Total","Percentage of active population","Total",":",""
"1983","Spain","Total","Thousand persons","Total",":",""
"1983","Spain","Total","Percentage of total population","Total",":",""
"1983","Spain","Total","Percentage of active population","Total",":",""
"1983","France","Total","Thousand persons","Total","1,813",""
"1983","France","Total","Percentage of total population","Total",":",""
"1983","France","Total","Percentage of active population","Total","7.3",""
"1983","Croatia","Total","Thousand persons","Total",":",""
"1983","Croatia","Total","Percentage of total population","Total",":",""
"1983","Croatia","Total","Percentage of active population","Total",":",""
"1983","Italy","Total","Thousand persons","Total","1,658","p"
"1983","Italy","Total","Percentage of total population","Total",":",""
"1983","Italy","Total","Percentage of active population","Total","7.4","p"
"1983","Cyprus","Total","Thousand persons","Total",":",""
"1983","Cyprus","Total","Percentage of total population","Total",":",""
"1983","Cyprus","Total","Percentage of active population","Total",":",""
"1983","Latvia","Total","Thousand persons","Total",":",""
"1983","Latvia","Total","Percentage of total population","Total",":",""
"1983","Latvia","Total","Percentage of active population","Total",":",""
"1983","Lithuania","Total","Thousand persons","Total",":",""
"1983","Lithuania","Total","Percentage of total population","Total",":",""
"1983","Lithuania","Total","Percentage of active population","Total",":",""
"1983","Luxembourg","Total","Thousand persons","Total","5",""
"1983","Luxembourg","Total","Percentage of total population","Total",":",""
"1983","Luxembourg","Total","Percentage of active population","Total","3.4",""
"1983","Hungary","Total","Thousand persons","Total",":",""
"1983","Hungary","Total","Percentage of total population","Total",":",""
"1983","Hungary","Total","Percentage of active population","Total",":",""
"1983","Malta","Total","Thousand persons","Total",":",""
"1983","Malta","Total","Percentage of total population","Total",":",""
"1983","Malta","Total","Percentage of active population","Total",":",""
"1983","Netherlands","Total","Thousand persons","Total","573",""
"1983","Netherlands","Total","Percentage of total population","Total",":",""
"1983","Netherlands","Total","Percentage of active population","Total","9.5",""
"1983","Austria","Total","Thousand persons","Total",":",""
"1983","Austria","Total","Percentage of total population","Total",":",""
"1983","Austria","Total","Percentage of active population","Total",":",""
"1983","Poland","Total","Thousand persons","Total",":",""
"1983","Poland","Total","Percentage of total population","Total",":",""
"1983","Poland","Total","Percentage of active population","Total",":",""
"1983","Portugal","Total","Thousand persons","Total","423",""
"1983","Portugal","Total","Percentage of total population","Total",":",""
"1983","Portugal","Total","Percentage of active population","Total","8.9",""
"1983","Romania","Total","Thousand persons","Total",":",""
"1983","Romania","Total","Percentage of total population","Total",":",""
"1983","Romania","Total","Percentage of active population","Total",":",""
"1983","Slovenia","Total","Thousand persons","Total",":",""
"1983","Slovenia","Total","Percentage of total population","Total",":",""
"1983","Slovenia","Total","Percentage of active population","Total",":",""
"1983","Slovakia","Total","Thousand persons","Total",":",""
"1983","Slovakia","Total","Percentage of total population","Total",":",""
"1983","Slovakia","Total","Percentage of active population","Total",":",""
"1983","Finland","Total","Thousand persons","Total",":",""
"1983","Finland","Total","Percentage of total population","Total",":",""
"1983","Finland","Total","Percentage of active population","Total",":",""
"1983","Sweden","Total","Thousand persons","Total","161",""
"1983","Sweden","Total","Percentage of total population","Total",":",""
"1983","Sweden","Total","Percentage of active population","Total","3.7",""
"1983","United Kingdom","Total","Thousand persons","Total","2,839",""
"1983","United Kingdom","Total","Percentage of total population","Total",":",""
"1983","United Kingdom","Total","Percentage of active population","Total","10.8",""
"1983","Iceland","Total","Thousand persons","Total",":",""
"1983","Iceland","Total","Percentage of total population","Total",":",""
"1983","Iceland","Total","Percentage of active population","Total",":",""
"1983","Norway","Total","Thousand persons","Total",":",""
"1983","Norway","Total","Percentage of total population","Total",":",""
"1983","Norway","Total","Percentage of active population","Total",":",""
"1983","Turkey","Total","Thousand persons","Total",":",""
"1983","Turkey","Total","Percentage of total population","Total",":",""
"1983","Turkey","Total","Percentage of active population","Total",":",""
"1983","United States","Total","Thousand persons","Total","10,717",""
"1983","United States","Total","Percentage of total population","Total",":",""
"1983","United States","Total","Percentage of active population","Total","9.6",""
"1983","Japan","Total","Thousand persons","Total","1,559",""
"1983","Japan","Total","Percentage of total population","Total",":",""
"1983","Japan","Total","Percentage of active population","Total","2.6",""
"1984","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1984","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1984","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1984","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1984","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1984","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1984","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1984","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1984","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1984","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total",":",""
"1984","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1984","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total",":",""
"1984","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1984","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1984","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1984","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1984","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1984","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1984","Belgium","Total","Thousand persons","Total",":",""
"1984","Belgium","Total","Percentage of total population","Total",":",""
"1984","Belgium","Total","Percentage of active population","Total",":",""
"1984","Bulgaria","Total","Thousand persons","Total",":",""
"1984","Bulgaria","Total","Percentage of total population","Total",":",""
"1984","Bulgaria","Total","Percentage of active population","Total",":",""
"1984","Czech Republic","Total","Thousand persons","Total",":",""
"1984","Czech Republic","Total","Percentage of total population","Total",":",""
"1984","Czech Republic","Total","Percentage of active population","Total",":",""
