구분,계,박사,석사,학사,기타
2015-전임교수_남성,"24,671","21,984","2,262",370,55
2015-전임교수_여성,"4,025","3,397",580,41,7
2015-비전임직교수_남성,"9,853","5,448","2,929","1,196",280
2015-비전임직교수_여성,"2,718","1,264",1167,207,80
2015-시간강사_남성,"11,730","5,100","4,712","1,416",502
2015-시간강사_여성,"7,911","3,171","3,929",637,174
2015-기타연구원_남성,"8,399","3,024","3,823","1,376",176
2015-기타연구원_여성,"3,716","1,026","1,712",867,111
2014-전임교수_남성,"25,399","22,848","2,154",357,40
2014-전임교수_여성,"3,527","2,983",505,38,1
2014-비전임직교수_남성,"10,813","6,203","3,067","1,251",292
2014-비전임직교수_여성,"2,710","1,332",1073,209,96
2014-시간강사_남성,"12,553","5,637","4,916","1,408",592
2014-시간강사_여성,"7,907","3,298","3,695",626,288
2014-기타연구원_남성,"10,432","2,702","5,934","1,186",610
2014-기타연구원_여성,"4,487",957,"2,147",978,405
2013-전임교수_남성,"24,743","22,183","2,176",337,47
2013-전임교수_여성,"3,522","2,936",546,36,4
2013-비전임직교수_남성,"10,297","5,716","3,080","1,225",276
2013-비전임직교수_여성,"2,557","1,201",1063,216,77
2013-시간강사_남성,"13,894","6,244","5,475","1,665",510
2013-시간강사_여성,"8,607","3,420","4,006",904,277
2013-기타연구원_남성,"10,586","3,407","5,621",817,741
2013-기타연구원_여성,"4,555","1,376","2,046",705,428
2012-전임교수_남성,"24,672","22,063","2,236",329,44
2012-전임교수_여성,"3,476","2,831",594,45,6
2012-비전임직교수_남성,"10,094","5,405","3,013","1,345",331
2012-비전임직교수_여성,"2,406","1,115",953,226,112
2012-시간강사_남성,"15,520","7,018","6,294","1,752",456
2012-시간강사_여성,"9,547","3,768","4,602",935,242
2012-기타연구원_남성,"10,901","2,640","5,765","1,987",509
2012-기타연구원_여성,"5,009",999,"2,552","1,113",345
2011-전임교수_남성,"23,370","20,824","2,214",285,47
2011-전임교수_여성,"3,201","2,536",601,58,6
2011-비전임직교수_남성,"9,422","5,077","2,849","1,231",265
2011-비전임직교수_여성,"2,147","1,026",833,217,71
2011-시간강사_남성,"15,972","7,107","6,511","1,689",665
2011-시간강사_여성,"9,665","3,806","4,706",849,304
2011-기타연구원_남성,"13,778","4,538","7,053","1,867",320
2011-기타연구원_여성,"4,972","1,205","2,440","1,123",204
2010-전임교수_남성,"23,460","20,819","2,302",286,53
2010-전임교수_여성,"3,124","2,469",584,63,8
2010-비전임직교수_남성,"8,895","4,757","2,689","1,112",337
2010-비전임직교수_여성,"2,090",959,854,214,63
2010-시간강사_남성,"16,679","7,176","7,273","1,728",502
2010-시간강사_여성,"9,660","3,680","4,817",952,211
2010-기타연구원_남성,"12,019","3,693","6,518","1,691",117
2010-기타연구원_여성,"4,183","1,008","2,207",878,90
2009-전임교수_남성,"22,833","20,349","2,178",276,30
2009-전임교수_여성,"2,722","2,266",418,37,1
2009-비전임직교수_남성,"8,745","4,603","2,773","1,138",231
2009-비전임직교수_여성,"1,928",857,822,182,67
2009-시간강사_남성,"16,990","7,304","7,452","1,760",474
2009-시간강사_여성,"9,204","3,354","4,792",819,239
2009-기타연구원_남성,"11,628","3,762","6,494","1,074",298
2009-기타연구원_여성,"3,806","1,096","2,112",512,86
2008-전임교수_남성,"21,660","19,841","1,644",152,23
2008-전임교수_여성,"2,746","2,217",483,42,4
2008-비전임직교수_남성,"8,915","4,712","2,921","1,068",214
2008-비전임직교수_여성,"2,009",851,884,205,69
2008-시간강사_남성,"15,184","6,365","6,956","1,455",408
2008-시간강사_여성,"8,695","2,946","4,739",849,161
2008-기타연구원_남성,"12,167","2,345","7,254","2,378",190
2008-기타연구원_여성,"4,597",791,"2,522","1,160",124
2007-전임교수_남성,"21,687","18,993","2,418",230,46
2007-전임교수_여성,"2,634","2,079",520,29,6
2007-비전임직교수_남성,"8,069","4,057","2,844","1,031",137
2007-비전임직교수_여성,"1,838",749,858,187,44
2007-시간강사_남성,"15,924","6,457","7,640","1,393",434
2007-시간강사_여성,"8,467","3,065","4,480",738,184
2007-기타연구원_남성,"14,355","6,406","6,731",966,252
2007-기타연구원_여성,"3,181","1,227","1,400",440,114
2006-전임교수_남성,"23,689","20,798","2,583",280,28
2006-전임교수_여성,"3,352","2,663",658,29,2
2006-비전임직교수_남성,"8,778","4,396","3,001","1,212",169
2006-비전임직교수_여성,"2,087",949,895,200,43
2006-시간강사_남성,"17,519","7,165","8,242","1,721",391
2006-시간강사_여성,"9,596","3,222","5,261",915,198
2006-기타연구원_남성,"6,741","1,665","4,774",297,5
2006-기타연구원_여성,"2,561",644,"1,784",129,4
2005-전임교수_남성,"22,468","20,485","1,861",119,3
2005-전임교수_여성,"3,044","2,490",536,15,3
2005-비전임직교수_남성,"7,574","3,670","2,793","1,002",109
2005-비전임직교수_여성,"1,904",799,873,209,23
2005-시간강사_남성,"18,736","7,745","9,034","1,632",325
2005-시간강사_여성,"9,395","3,402","5,152",712,129
2005-기타연구원_남성,-,-,-,-,-
2005-기타연구원_여성,-,-,-,-,-
2004-전임교수_남성,"21,980","19,785","2,195",-,-
2004-전임교수_여성,"2,501","2,108",393,-,-
2004-비전임직교수_남성,"27,940","25,239","2,701",-,-
2004-비전임직교수_여성,"1,343",573,770,-,-
2004-시간강사_남성,"17,278","7,343","9,935",-,-
2004-시간강사_여성,"7,417","2,861","4,556",-,-
2004-기타연구원_남성,-,-,-,-,-
2004-기타연구원_여성,-,-,-,-,-
