"","num","pid","psid","month","count","q1","q2_1_1","q2_1_2","q2_2_1","q2_2_2","q2_3_1","q2_3_2","q3","q4","q4_1","q4_2","q4_3","q4_4","q4_5","q4_6","q4_7","q5","q5_1_1","q5_1_2_1","q5_1_2_2","q5_1_2_3","q5_1_2_4","q5_1_2_5","q5_1_2_6","q5_1_3","q5_1_4","q5_1_5","q5_1_6","q5_1_7","q5_2_1","q5_2_2","q6","q7_1_1","q7_1_2","q7_1_3","q7_2","q7_3_1","q7_4_1","q7_4_2","q7_4_3","q7_5","q7_6","q7_7"
"1",1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2,6,8,1,1,8,15,8,15,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,13,3,NA,NA,NA,NA,NA,1,15000,2,NA,NA,NA,NA,2,"소요산",931,80,4,1,2,NA,NA,4,3,3
"4",4,2,6,9,1,1,9,3,9,3,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,12,1,3,6,NA,NA,NA,1,15000,2,NA,NA,NA,NA,2,"산악회",932,10,5,1,2,NA,NA,4,3,3
"5",5,2,10,8,1,2,8,10,8,16,6,7,7,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,"부다페스트",235,1,3,2,14,NA,NA,4,3,4
"6",6,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,3,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,3,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,4,10,11,1,1,11,13,11,15,2,3,1,1,1,1,NA,NA,NA,NA,NA,1,6,1,3,NA,NA,NA,NA,1,250000,2,NA,NA,NA,NA,2,"설악산",932,60,1,2,1,2,3,4,4,4
"10",10,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,4,20,8,1,1,8,8,8,9,1,2,1,1,1,NA,NA,NA,NA,NA,NA,1,6,1,NA,NA,NA,NA,NA,1,100000,2,NA,NA,NA,NA,2,"베어스타운콘도",931,270,1,3,1,NA,NA,5,3,3
"12",12,4,20,11,1,2,11,20,11,24,4,5,1,1,1,NA,NA,NA,NA,NA,NA,1,5,1,3,NA,NA,NA,NA,1,400000,2,NA,NA,NA,NA,2,"청도",176,7,7,2,1,2,NA,5,1,4
"13",13,5,10,8,1,2,8,99,8,99,5,6,8,2,NA,NA,NA,NA,NA,NA,NA,1,20,2,NA,NA,NA,NA,NA,1,1300000,1,879000,1,NA,NA,2,"파타이",207,1,3,2,14,NA,NA,4,3,3
"14",14,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
